2007-519357	8334154	Helmholtz Zentrum Berlin	DE
2004-927488	7318957	HITHACHI	JP
2013-915468		Honda l University of Stanford	US
2011-065582	8551868	Honda l University of Stanford	US
2005-665735	7829154	HOYA	JP
2007-227932	8089061	HOYA	JP
2005-587029	7880377	HOYA	JP
2005-271354	7309642	HP	US
2004-758801	6783418	HP	US
2004-994944	7208133	IBM	US
2004-779457		IBM	US
2007-957108	7892519	Idaho State University	US
2012-493121	8736166	Imaging Systems Technology?	US
2010-946152	8339041	Imaging Systems Technology?	US
2008-262041	7737008	IMEC	BE
2004-024801	7192850	Industrial Technology Research Institute	TW
2005-187829	7303937	Industrial Technology Research Institute	TW
2008-022020	7678359	Industrial Technology Research Institute	TW
2004-007882	7507599	Industrial Technology Research Institute	TW
2005-187828		Industrial Technology Research Institute	TW
2004-998603		Industrial Technology Research Institute	TW
2009-494706	7935388	Industrial Technology Research Institute	TW
2006-489470	7498224	Industrial Technology Research Institute	TW
2004-919323	7102153	Industrial Technology Research Institute	TW
2004-020764	7342260	Industrial Technology Research Institute	TW
2005-155774		Industrial Technology Research Institute	TW
2007-874834	7884384	Industrial Technology Research Institute	TW
2005-320654	7242030	Industrial Technology Research Institute	TW
2011-339388	8536614	Industrial Technology Research Institute | National Cheng-Kung University	TW
2007-864059	7642562	Innolume	DE
2013-100381		Innolux	TW
2009-609875		INSTITUT NATIONAL D'OPTIQUE	CA
2005-162291	7358101	Institute of Nuclear Energy Research	TW
2013-136972		Intematix 	US
2011-235134	8476616	InVisage Technologies	US
2005-108900	7326908	InVisage Technologies	US
2007-952066		InVisage Technologies	US
2006-510263	7742322	InVisage Technologies	US
2011-226533	8284586	InVisage Technologies	US
2010-780420	8023306	InVisage Technologies	US
2008-287530	7811543	irilliant	US
2005-592491	7662731	Japan Science and Technology(JST)	JP
2009-379583	8357272	Japan Science and Technology(JST)	JP
2008-195271	8218221	KLA-Tencor	US
2005-271041	7259100	Kovio	US
2005-271042	7259101	Kovio	US
2008-336107	7834372	Lednovation	US
2011-115537	8552416	LG디스플레이	KR 
2011-112128		LG디스플레이	KR 
2010-849515	8242679	LG디스플레이	KR
2007-657606	8253151	LG이노텍	KR
2012-571131		LG이노텍	KR
2011-119821		LG이노텍	KR
2008-144184	7816701	LG이노텍	KR
2010-881059	8017965	LG이노텍	KR
2011-817404		LG이노텍	KR
2011-512978	8593590	LG전자	KR
2011-634229		LG전자	KR
2011-327641		LG전자	KR
2009-484836	8287761	Life Technologies	US
2004-011827	7695642	Life Technologies	US
2012-608296	8603362	Life Technologies	US
2004-884528	7785717	Life Technologies	US
2011-045375	8530883	Light-Based Technologies	CA
2013-082684		Lightizer Korea	KR
2012-603266		LITEPANELS	US
2004-004167	7261940	Los Alamos National Security	US
2007-786190	7914588	Los Alamos National Security	US
2009-322813	7935419	Los Alamos National Security	US
2006-402693	7197226	Lucent Technologies	US
2007-650668	7457508	Lucent Technologies	US
2005-202114		Lucent Technologies	US
2005-071244		Massachusetts Institute of Technology	US
2007-819413		Massachusetts Institute of Technology	US
2011-297968		Massachusetts Institute of Technology	US
2006-399414	7374824	Massachusetts Institute of Technology	US
2011-078658	8465678	Massachusetts Institute of Technology	US
2009-509869	8158193	Massachusetts Institute of Technology	US
2010-725438	8101234	Massachusetts Institute of Technology	US
2011-157466	8481112	Massachusetts Institute of Technology	US
2011-157473	8481113	Massachusetts Institute of Technology	US
2006-502493	7566476	Massachusetts Institute of Technology	US
2004-960947	7125605	Massachusetts Institute of Technology	US
2004-921306	7229497	Massachusetts Institute of Technology	US
2006-594732	7470473	Massachusetts Institute of Technology	US
2005-032163	8134175	Massachusetts Institute of Technology	US
2012-417894	8748933	Massachusetts Institute of Technology	US
2007-311378	8283423	Massachusetts Institute of Technology	US
2004-959992	7138098	Massachusetts Institute of Technology	US
2010-888161	8277942	Massachusetts Institute of Technology	US
2005-320316	7394094	Massachusetts Institute of Technology	US
2006-543829	7601424	Massachusetts Institute of Technology	US
2009-585303	8481162	Massachusetts Institute of Technology	US
2007-959853	8535758	Massachusetts Institute of Technology	US
2007-776419	8105758	Massachusetts Institute of Technology	US
2012-465553	8362684	Massachusetts Institute of Technology	US
2005-120729	7586033	Massachusetts Institute of Technology | University of Boston	US
2008-273783	8293168	Massachusetts Institute of Technology | University of Boston	US
2004-977363	7465871	Massachusetts Institute of Technology | University of Boston	US
2011-811963		Merck	DE
2011-699827		Merck	DE
2010-783404	8119440	Micron Technology	US
2011-173108	8693087	Microsoft	US
2010-751877	8605763	Microsoft	US
2013-047715		Mordechai Margalit	IL
2007-770939		Motorola	US
2012-678630		Murata Manufacturing	JP
2012-430040		Murata Manufacturing	JP
2012-524283	8679880	Murata Manufacturing	JP
2011-821235		Mytech Corporation	JP
2012-726026		Nanoaxis	US
2006-588880	7867556	NANOCO Technology	GB
2013-900388		NANOCO Technology	GB
2006-997973	7867557	NANOCO Technology	GB
2008-324354	8784701	NANOCO Technology	GB
2005-579050	7803423	NANOCO Technology	GB
2010-854601	7985446	NANOCO Technology	GB
2010-854611	8062703	NANOCO Technology	GB
2007-852748	7588828	NANOCO Technology	GB
2011-267532	8524365	NANOCO Technology	GB
2009-392719	8337720	NANOCO Technology	GB
2009-537553	8597730	NANOCO Technology	GB
2009-612379	8394976	NANOCO Technology	GB
2013-084249		NANOCO Technology	GB
2013-857822		NANOCO Technology	GB
2012-485292		NANOCO Technology	GB
2004-777269		nanophotonic	US
2008-062936		Nanoscale materials	US
2013-917570		Nanosys	US
2012-684782	8697471	Nanosys	US
2009-554232	8041171	Nanosys	US
2006-342087	7228050	Nanosys	US
2008-212014	7603003	Nanosys	US
2005-034216	7374807	Nanosys	US
2006-492717	7645397	Nanosys	US
2004-928625	7572393	Nanosys	US
2005-130296	7572395	Nanosys	US
2009-459574	8562867	Nanosys	US
2005-130303	7438833	Nanosys	US
2005-304498	8088483	Nanosys	US
2005-178257	7557028	Nanosys	US
2009-475772	8062967	Nanosys	US
2013-803596		Nanosys	US
2010-799813	8283412	Nanosys	US
2012-633769	8618212	Nanosys	US
2006-641939	7951422	Nanosys	US
2006-641946	7785922	Nanosys	US
2005-142563	7151209	Nanosys	US
2004-000557	7164209	Nanosys	US
2011-287616		Nanosys	US
2009-060046	8633040	Nanotech-Dubna	RU
